ComplaintID,Date,Customer,ProgramID,Category,Severity,Status
CMP-0001,2026-03-14,Helios Energy,PGM-002,Documentation,Low,Closed
CMP-0002,2026-03-25,Helios Energy,PGM-009,Late,Low,Closed
CMP-0003,2026-06-16,Vantage Robotics,PGM-003,Quality,Low,Closed
CMP-0004,2026-03-08,Ironclad Industrial,PGM-009,Documentation,High,Open
CMP-0005,2026-02-06,Vantage Robotics,PGM-001,Late,Medium,Closed
CMP-0006,2026-06-11,Northwind Aerospace,PGM-001,Quality,Medium,Closed
CMP-0007,2026-05-08,Cascade Defense Systems,PGM-001,Documentation,Medium,Open
CMP-0008,2026-03-03,Sterling Marine,PGM-002,Documentation,High,Closed
CMP-0009,2026-06-04,Sterling Marine,PGM-004,Quality,Low,Closed
CMP-0010,2026-01-19,Cascade Defense Systems,PGM-004,Documentation,Low,Closed
CMP-0011,2026-05-27,BlueLark Medical,PGM-009,Documentation,Medium,Open
CMP-0012,2026-02-03,Vantage Robotics,PGM-007,Late,Medium,Open
CMP-0013,2026-06-26,Vantage Robotics,PGM-005,Late,Low,Open
CMP-0014,2026-01-14,Northwind Aerospace,PGM-005,Late,High,Open
CMP-0015,2026-06-02,Cascade Defense Systems,PGM-004,Documentation,Low,Closed
CMP-0016,2026-01-21,BlueLark Medical,PGM-006,Late,Medium,Closed
CMP-0017,2026-03-02,Ironclad Industrial,PGM-001,Documentation,Medium,Closed
CMP-0018,2026-04-03,Meridian Motors,PGM-007,Documentation,High,Closed
CMP-0019,2026-06-09,Atlas Rail,PGM-002,Documentation,Medium,Open
CMP-0020,2026-04-24,Vantage Robotics,PGM-006,Late,High,Closed
CMP-0021,2026-06-13,Vantage Robotics,PGM-001,Quality,Low,Closed
CMP-0022,2026-06-27,BlueLark Medical,PGM-009,Late,High,Closed
