RiskID,Title,OwnerDept,Severity,Likelihood,Category,ReferenceID,Status,ReviewDate
RSK-001,Rising material costs,Finance,High,Medium,Strategic,PGM-003,Open,2026-06-30
RSK-002,Scrap creep at key line,Manufacturing,High,Medium,Compliance,WC-002,Open,2026-06-30
RSK-003,NRE overrun,Engineering,High,High,Operational,"EPRJ-003,EPRJ-007",Monitoring,2026-06-30
RSK-004,Critical-role attrition,HR,Medium,High,Compliance,CNC Machinist,Monitoring,2026-06-30
RSK-005,Supplier defect trend,Quality,High,Medium,Strategic,Apex Metalworks,Open,2026-06-30
RSK-006,Onboarding access delays,IT,Medium,Medium,Operational,,Open,2026-06-30
RSK-007,Facility incident trend,EHS,Medium,High,Compliance,SITE-01,Open,2026-06-30
RSK-008,Sales forecast slippage,Sales,Medium,High,Operational,Meridian Motors,Open,2026-06-30
RSK-009,Contract renewal exposure,Legal,Low,Medium,Compliance,,Open,2026-06-30
RSK-010,Cyber security posture,IT,Medium,High,Strategic,,Open,2026-06-30
