ContractID,CounterParty,ContractType,Category,ValueUSD,StartDate,EndDate,Status
CTR-0001,Northwind Aerospace,Customer,Statement of Work,150000,2022-10-01,2023-10-01,Active
CTR-0002,Cardinal Components,Supplier,License,50000,2023-05-01,2026-04-30,Active
CTR-0003,Meridian Motors,Customer,Statement of Work,500000,2024-02-01,2028-01-31,Active
CTR-0004,Evergreen Alloys,Supplier,NDA,4000000,2025-04-01,2028-03-31,Renewal
CTR-0005,Helios Energy,Customer,Statement of Work,150000,2022-09-01,2025-08-31,Expiring
CTR-0006,Granite Precision,Supplier,Statement of Work,50000,2023-05-01,2027-04-30,Active
CTR-0007,BlueLark Medical,Customer,NDA,1500000,2024-03-01,2027-03-01,Active
CTR-0008,Ironwood Composites,Supplier,Master Supply,500000,2025-07-01,2026-07-01,Expiring
CTR-0009,Sterling Marine,Customer,Statement of Work,4000000,2022-06-01,2026-05-31,Active
CTR-0010,Keystone Bearings,Supplier,NDA,1500000,2023-02-01,2024-02-01,Renewal
CTR-0011,Cascade Defense Systems,Customer,Statement of Work,4000000,2024-09-01,2026-09-01,Active
CTR-0012,Monarch Machining,Supplier,License,500000,2025-11-01,2029-10-31,Active
CTR-0013,Vantage Robotics,Customer,Master Supply,50000,2022-03-01,2025-02-28,Expiring
CTR-0014,Orchard Plastics,Supplier,Master Supply,150000,2023-02-01,2025-01-31,Expiring
CTR-0015,Atlas Rail,Customer,Statement of Work,4000000,2024-08-01,2028-07-31,Renewal
CTR-0016,Quartz Sensors,Supplier,NDA,1500000,2025-12-01,2026-12-01,Expiring
CTR-0017,Ironclad Industrial,Customer,License,500000,2022-10-01,2023-10-01,Active
CTR-0018,Summit Sheetmetal,Supplier,License,1500000,2023-04-01,2025-03-31,Active
CTR-0019,Northwind Aerospace,Customer,Statement of Work,4000000,2024-02-01,2027-01-31,Active
CTR-0020,Vertex Valves,Supplier,Statement of Work,150000,2025-07-01,2026-07-01,Expiring
CTR-0021,Meridian Motors,Customer,NDA,4000000,2022-02-01,2023-02-01,Active
CTR-0022,Cardinal Components,Supplier,NDA,150000,2023-06-01,2025-05-31,Active
CTR-0023,Helios Energy,Customer,NDA,4000000,2024-09-01,2026-09-01,Active
CTR-0024,Evergreen Alloys,Supplier,NDA,4000000,2025-06-01,2026-06-01,Active
CTR-0025,BlueLark Medical,Customer,NDA,4000000,2022-03-01,2025-02-28,Active
CTR-0026,Granite Precision,Supplier,Master Supply,150000,2023-02-01,2024-02-01,Active
CTR-0027,Sterling Marine,Customer,Services,500000,2024-04-01,2025-04-01,Active
CTR-0028,Ironwood Composites,Supplier,Master Supply,150000,2025-05-01,2029-04-30,Renewal
CTR-0029,Cascade Defense Systems,Customer,Master Supply,1500000,2022-02-01,2026-01-31,Active
CTR-0030,Keystone Bearings,Supplier,Services,50000,2023-09-01,2027-08-31,Renewal
CTR-0031,Vantage Robotics,Customer,Services,50000,2024-04-01,2027-04-01,Expiring
CTR-0032,Monarch Machining,Supplier,Master Supply,50000,2025-11-01,2029-10-31,Expiring
CTR-0033,Atlas Rail,Customer,Master Supply,1500000,2022-07-01,2026-06-30,Active
CTR-0034,Orchard Plastics,Supplier,Statement of Work,4000000,2023-02-01,2025-01-31,Active
