month,kpi_name,category,target,actual,unit,status
2023-01-01,Revenue,Financial,3.8,3.84,$M,Green
2023-01-01,Gross Margin %,Financial,38.0,37.63,%,Green
2023-01-01,EBITDA %,Financial,14.0,13.5,%,Green
2023-01-01,OEE,Manufacturing,82.0,83.73,%,Green
2023-01-01,Scrap Rate,Manufacturing,2.5,2.63,%,Green
2023-01-01,On-Time Delivery,Manufacturing,95.0,91.84,%,Yellow
2023-01-01,Headcount,HR,320,337.17,count,Green
2023-01-01,Voluntary Turnover Rate,HR,8.0,7.57,%,Yellow
2023-01-01,Open Positions,HR,12,11.56,count,Green
2023-01-01,NPS,Sales,52,51.71,score,Green
2023-01-01,Bookings,Sales,4.2,4.47,$M,Green
2023-01-01,Pipeline Coverage,Sales,3.0,3.13,ratio,Green
2023-01-01,First Pass Yield,Quality,97.0,94.41,%,Green
2023-01-01,Customer PPM,Quality,250,233.78,ppm,Yellow
2023-01-01,OSHA Recordable Rate,EHS,1.5,1.46,rate,Green
2023-01-01,Days Since Last Recordable,EHS,90,94.16,days,Green
2023-01-01,IT Ticket Avg Resolution,IT,18.0,17.84,hrs,Green
2023-01-01,Capex Spend vs Plan,Finance,95.0,101.0,%,Green
2023-02-01,Revenue,Financial,3.8,3.98,$M,Green
2023-02-01,Gross Margin %,Financial,38.0,39.36,%,Green
2023-02-01,EBITDA %,Financial,14.0,14.96,%,Green
2023-02-01,OEE,Manufacturing,82.0,77.94,%,Yellow
2023-02-01,Scrap Rate,Manufacturing,2.5,2.49,%,Green
2023-02-01,On-Time Delivery,Manufacturing,95.0,91.53,%,Yellow
2023-02-01,Headcount,HR,320,307.3,count,Green
2023-02-01,Voluntary Turnover Rate,HR,8.0,7.37,%,Yellow
2023-02-01,Open Positions,HR,12,11.8,count,Green
2023-02-01,NPS,Sales,52,52.13,score,Green
2023-02-01,Bookings,Sales,4.2,4.47,$M,Green
2023-02-01,Pipeline Coverage,Sales,3.0,2.77,ratio,Yellow
2023-02-01,First Pass Yield,Quality,97.0,98.83,%,Green
2023-02-01,Customer PPM,Quality,250,256.58,ppm,Green
2023-02-01,OSHA Recordable Rate,EHS,1.5,1.47,rate,Green
2023-02-01,Days Since Last Recordable,EHS,90,94.34,days,Green
2023-02-01,IT Ticket Avg Resolution,IT,18.0,17.39,hrs,Green
2023-02-01,Capex Spend vs Plan,Finance,95.0,93.96,%,Green
2023-03-01,Revenue,Financial,3.8,3.71,$M,Green
2023-03-01,Gross Margin %,Financial,38.0,39.42,%,Green
2023-03-01,EBITDA %,Financial,14.0,15.02,%,Green
2023-03-01,OEE,Manufacturing,82.0,85.73,%,Green
2023-03-01,Scrap Rate,Manufacturing,2.5,2.45,%,Green
2023-03-01,On-Time Delivery,Manufacturing,95.0,99.03,%,Green
2023-03-01,Headcount,HR,320,316.03,count,Green
2023-03-01,Voluntary Turnover Rate,HR,8.0,8.57,%,Green
2023-03-01,Open Positions,HR,12,11.98,count,Green
2023-03-01,NPS,Sales,52,51.92,score,Green
2023-03-01,Bookings,Sales,4.2,4.2,$M,Green
