SupplierID,SupplierName,Commodity,Country,OnboardedDate,RiskTier
SUP-001,Apex Metalworks,Machined Castings,US,2018-11-01,Medium
SUP-002,Cardinal Components,Sheet Metal,US,2019-03-01,Medium
SUP-003,Delta Forge,Electronics,US,2020-06-01,Low
SUP-004,Evergreen Alloys,Fasteners,US,2021-11-01,Medium
SUP-005,Frontier Fasteners,Composites,MX,2022-12-01,Low
SUP-006,Granite Precision,Wire Harness,CA,2023-10-01,Low
SUP-007,Harbor Electronics,Bearings,US,2024-09-01,Low
SUP-008,Ironwood Composites,Seals & Gaskets,US,2018-03-01,Medium
SUP-009,Juniper Coatings,Forgings,US,2019-07-01,Medium
SUP-010,Keystone Bearings,Coatings,US,2020-11-01,High
SUP-011,Lakeside Seals,Machined Castings,MX,2021-04-01,Medium
SUP-012,Monarch Machining,Sheet Metal,CA,2022-01-01,Low
SUP-013,Northstar Wire,Electronics,US,2023-01-01,Medium
SUP-014,Orchard Plastics,Fasteners,US,2024-07-01,Medium
SUP-015,Pinnacle Castings,Composites,US,2018-02-01,Low
SUP-016,Quartz Sensors,Wire Harness,US,2019-10-01,Medium
SUP-017,Redwood Rubber,Bearings,MX,2020-04-01,Medium
SUP-018,Summit Sheetmetal,Seals & Gaskets,CA,2021-07-01,Medium
SUP-019,Titan Tooling,Forgings,US,2022-03-01,Medium
SUP-020,Vertex Valves,Coatings,US,2023-03-01,Low
SUP-021,Supplier 021 LLC,Machined Castings,US,2024-12-01,High
SUP-022,Supplier 022 LLC,Sheet Metal,US,2018-09-01,Medium
SUP-023,Supplier 023 LLC,Electronics,MX,2019-12-01,High
SUP-024,Supplier 024 LLC,Fasteners,CA,2020-07-01,High
SUP-025,Supplier 025 LLC,Composites,US,2021-07-01,Medium
SUP-026,Supplier 026 LLC,Wire Harness,US,2022-04-01,Low
SUP-027,Supplier 027 LLC,Bearings,US,2023-09-01,Medium
SUP-028,Supplier 028 LLC,Seals & Gaskets,US,2024-02-01,Low
SUP-029,Supplier 029 LLC,Forgings,MX,2018-02-01,Low
SUP-030,Supplier 030 LLC,Coatings,CA,2019-11-01,Low
SUP-031,Supplier 031 LLC,Machined Castings,US,2020-11-01,Medium
SUP-032,Supplier 032 LLC,Sheet Metal,US,2021-10-01,Low
SUP-033,Supplier 033 LLC,Electronics,US,2022-07-01,Medium
SUP-034,Supplier 034 LLC,Fasteners,US,2023-10-01,Medium
SUP-035,Supplier 035 LLC,Composites,MX,2024-09-01,Medium
SUP-036,Supplier 036 LLC,Wire Harness,CA,2018-09-01,Low
SUP-037,Supplier 037 LLC,Bearings,US,2019-11-01,Low
SUP-038,Supplier 038 LLC,Seals & Gaskets,US,2020-11-01,High
SUP-039,Supplier 039 LLC,Forgings,US,2021-05-01,Medium
SUP-040,Supplier 040 LLC,Coatings,US,2022-02-01,Medium
SUP-041,Supplier 041 LLC,Machined Castings,MX,2023-07-01,Low
SUP-042,Supplier 042 LLC,Sheet Metal,CA,2024-08-01,Low
SUP-043,Supplier 043 LLC,Electronics,US,2018-12-01,Medium
SUP-044,Supplier 044 LLC,Fasteners,US,2019-09-01,Low
SUP-045,Supplier 045 LLC,Composites,US,2020-09-01,Low
SUP-046,Supplier 046 LLC,Wire Harness,US,2021-11-01,Medium
SUP-047,Supplier 047 LLC,Bearings,MX,2022-11-01,High
SUP-048,Supplier 048 LLC,Seals & Gaskets,CA,2023-10-01,Low
SUP-049,Supplier 049 LLC,Forgings,US,2024-03-01,Medium
SUP-050,Supplier 050 LLC,Coatings,US,2018-03-01,High
SUP-051,Supplier 051 LLC,Machined Castings,US,2019-09-01,Low
SUP-052,Supplier 052 LLC,Sheet Metal,US,2020-10-01,Medium
SUP-053,Supplier 053 LLC,Electronics,MX,2021-08-01,Low
SUP-054,Supplier 054 LLC,Fasteners,CA,2022-02-01,Medium
SUP-055,Supplier 055 LLC,Composites,US,2023-05-01,Low
SUP-056,Supplier 056 LLC,Wire Harness,US,2024-01-01,Low
SUP-057,Supplier 057 LLC,Bearings,US,2018-10-01,Low
SUP-058,Supplier 058 LLC,Seals & Gaskets,US,2019-02-01,Medium
SUP-059,Supplier 059 LLC,Forgings,MX,2020-02-01,High
SUP-060,Supplier 060 LLC,Coatings,CA,2021-03-01,Low
SUP-061,Supplier 061 LLC,Machined Castings,US,2022-11-01,Medium
SUP-062,Supplier 062 LLC,Sheet Metal,US,2023-09-01,Low
SUP-063,Supplier 063 LLC,Electronics,US,2024-05-01,High
SUP-064,Supplier 064 LLC,Fasteners,US,2018-10-01,Medium
SUP-065,Supplier 065 LLC,Composites,MX,2019-04-01,High
SUP-066,Supplier 066 LLC,Wire Harness,CA,2020-12-01,Low
SUP-067,Supplier 067 LLC,Bearings,US,2021-12-01,Medium
SUP-068,Supplier 068 LLC,Seals & Gaskets,US,2022-07-01,Medium
SUP-069,Supplier 069 LLC,Forgings,US,2023-08-01,High
SUP-070,Supplier 070 LLC,Coatings,US,2024-08-01,Low
