title,issuing_body,domain_tag,applicability_tag,source_url,fetch_method,version_label,notes
"Federal Acquisition Regulation (FAR) - Full Text","U.S. General Services Administration","Supply Chain & Procurement","Federal","https://www.acquisition.gov/sites/default/files/current/far/pdf/FAR.pdf","direct_pdf","2025 Edition","Verified direct PDF link from acquisition.gov"
"NIST SP 800-161 Rev. 1 - Cybersecurity Supply Chain Risk Management","NIST","Supply Chain & Procurement","Federal/Cross-industry","https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-161r1-upd1.pdf","direct_pdf","Rev. 1 (updated)","Verified direct PDF from nvlpubs.nist.gov - this supersedes the original SP 800-161"
"NIST Cybersecurity Framework (CSF) 2.0","NIST","IT & Cybersecurity","Federal/Cross-industry","https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.29.pdf","direct_pdf","CSF 2.0","Verified direct PDF from nvlpubs.nist.gov"
"NIST CSF 2.0 Resource & Overview Guide (SP 1299)","NIST","IT & Cybersecurity","Federal/Cross-industry","https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.1299.pdf","direct_pdf","SP 1299","Verified direct PDF, supplements CSF 2.0"
"NIST CSF 2.0 Small Business Quick-Start Guide (SP 1300)","NIST","IT & Cybersecurity","Federal/Cross-industry","https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.1300.pdf","direct_pdf","SP 1300","Verified direct PDF"
"NIST SP 800-160 Vol. 1 - Systems Security Engineering","NIST","Engineering & Product","Federal/Cross-industry","https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-160v1.pdf","direct_pdf","Vol. 1","Verified direct PDF - note: withdrawn/superseded, check for newer revision before use"
"Defense Federal Acquisition Regulation Supplement (DFARS)","U.S. Dept. of Defense","Supply Chain & Procurement","Federal/Defense","https://www.acq.osd.mil/dpap/dars/dfars/index.html","manual_required","Current","No single direct PDF - DFARS is split by part on DAU site; needs per-part download or manual export"
"Federal CPARS Evaluation Guide","U.S. Dept. of Defense / CPARS.gov","Supply Chain & Procurement","Federal/Defense","https://www.cpars.gov/","manual_required","Current","CPARS guidance is published as multiple guides behind cpars.gov - requires manual navigation to find current PDF"
"CPARS Quality Assessment Guide","U.S. Dept. of Defense / CPARS.gov","Supply Chain & Procurement","Federal/Defense","https://www.cpars.gov/","manual_required","Current","Same site as above - locate specific guide PDF manually"
"NIST Cybersecurity Supply Chain Guidance (C-SCRM)","NIST","Supply Chain & Procurement","Federal/Cross-industry","https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-161r1-upd1.pdf","direct_pdf","Rev. 1","Duplicate of SP 800-161 Rev.1 above - same document covers this"
"SBA Supplier Diversity Guidelines","U.S. Small Business Administration","Supply Chain & Procurement","Federal","https://www.sba.gov/federal-contracting/contracting-guide/basic-requirements","manual_required","Current","SBA publishes as web pages, not a single PDF - requires manual save-as-PDF or web scrape"
"GSA Procurement Best Practices","U.S. General Services Administration","Supply Chain & Procurement","Federal","https://www.gsa.gov/buy-through-us/purchasing-programs","manual_required","Current","Published as web pages across multiple GSA sections - manual collection needed"
"APQC Procurement Benchmarks","APQC","Supply Chain & Procurement","Industry","https://www.apqc.org/","paywalled","Current","APQC benchmarks require membership/purchase - not freely downloadable"
"ISM Supplier Performance Standards","Institute for Supply Management","Supply Chain & Procurement","Industry","https://www.ismworld.org/","paywalled","Current","ISM content largely requires membership - verify licensing before bulk fetch"
"Gartner Supply Chain Metrics","Gartner","Supply Chain & Procurement","Industry","https://www.gartner.com/en/supply-chain","paywalled","Current","Gartner research requires paid subscription - not fetchable"
"SCOR Model Documentation","Association for Supply Chain Management (ASCM)","Supply Chain & Procurement","Industry","https://www.ascm.org/corporate-transformation/standards-tools/scor/","paywalled","SCOR DS","ASCM requires membership for full SCOR documentation"
"ISO 9001:2015 - Quality Management Systems","ISO","Manufacturing & Quality","Global","https://www.iso.org/standard/62085.html","paywalled","2015","ISO standards are not free - must be purchased per standard from iso.org or national body"
"ISO 28000 - Supply Chain Security Management","ISO","Supply Chain & Procurement","Global","https://www.iso.org/standard/79612.html","paywalled","Current","ISO standards are not free - must be purchased"
"IATF 16949 - Automotive Quality Management","International Automotive Task Force","Manufacturing & Quality","Industry","https://www.iatfglobaloversight.org/","paywalled","Current","Requires purchase through IATF"
"AS9100 - Aerospace Quality Management","SAE International","Manufacturing & Quality","Industry","https://www.sae.org/standards/content/as9100d/","paywalled","Rev. D","Requires purchase through SAE"
"ISO 14001:2015 - Environmental Management Systems","ISO","Manufacturing & Quality","Global","https://www.iso.org/standard/60857.html","paywalled","2015","ISO standards are not free - must be purchased"
"OSHA 29 CFR 1910 - General Industry Standards","U.S. Dept. of Labor / OSHA","Manufacturing & Quality","Federal","https://www.ecfr.gov/current/title-29/subtitle-B/chapter-XVII/part-1910","manual_required","Current","eCFR publishes as browsable HTML by subpart, not single PDF - requires manual export per subpart or full-text scrape"
"NIST Manufacturing Extension Partnership (MEP) Guidance","NIST","Manufacturing & Quality","Federal","https://www.nist.gov/mep","manual_required","Current","Published as web resources, not single PDF"
"Generally Accepted Accounting Principles (GAAP) - FASB Codification","FASB","Finance & Accounting","Federal/US","https://asc.fasb.org/","paywalled","Current","FASB Codification requires paid subscription for full access"
