FindingID,Date,Severity,Category,Status
SEC-0001,2026-03-17,Critical,Access,Open
SEC-0002,2026-02-10,Medium,Config,Remediated
SEC-0003,2026-06-22,High,Access,Remediated
SEC-0004,2026-02-06,Critical,Access,Open
SEC-0005,2026-03-17,Medium,Config,Open
SEC-0006,2026-01-05,Medium,Access,Open
SEC-0007,2026-03-02,Low,Phishing,Open
SEC-0008,2026-01-23,High,Access,Remediated
SEC-0009,2026-03-25,Critical,Phishing,Remediated
SEC-0010,2026-03-14,High,Phishing,Remediated
SEC-0011,2026-01-21,Critical,Access,Remediated
SEC-0012,2026-04-25,Low,Config,Open
SEC-0013,2026-01-03,High,Patch,Remediated
SEC-0014,2026-06-22,Medium,Config,Open
SEC-0015,2026-01-04,Medium,Config,Open
SEC-0016,2026-06-28,Low,Phishing,Open
SEC-0017,2026-05-24,High,Phishing,Open
SEC-0018,2026-02-05,Critical,Patch,Open
SEC-0019,2026-04-03,Critical,Phishing,Remediated
SEC-0020,2026-05-08,Medium,Access,Remediated
SEC-0021,2026-06-19,High,Access,Open
SEC-0022,2026-01-05,Critical,Phishing,Open
SEC-0023,2026-03-05,High,Config,Open
SEC-0024,2026-04-23,Medium,Patch,Open
SEC-0025,2026-05-10,High,Patch,Remediated
SEC-0026,2026-03-16,Medium,Phishing,Open
SEC-0027,2026-06-08,Critical,Config,Open
SEC-0028,2026-01-07,High,Access,Remediated
SEC-0029,2026-04-10,High,Config,Open
SEC-0030,2026-05-05,Medium,Phishing,Remediated
