ContractID,CounterParty,Category,ValueUSD,StartDate,EndDate,Status
CTR-0002,Cardinal Components,License,50000,2023-05-01,2026-04-30,Active
CTR-0004,Evergreen Alloys,NDA,4000000,2025-04-01,2028-03-31,Renewal
CTR-0006,Granite Precision,Statement of Work,50000,2023-05-01,2027-04-30,Active
CTR-0008,Ironwood Composites,Master Supply,500000,2025-07-01,2026-07-01,Expiring
CTR-0010,Keystone Bearings,NDA,1500000,2023-02-01,2024-02-01,Renewal
CTR-0012,Monarch Machining,License,500000,2025-11-01,2029-10-31,Active
CTR-0014,Orchard Plastics,Master Supply,150000,2023-02-01,2025-01-31,Expiring
CTR-0016,Quartz Sensors,NDA,1500000,2025-12-01,2026-12-01,Expiring
CTR-0018,Summit Sheetmetal,License,1500000,2023-04-01,2025-03-31,Active
CTR-0020,Vertex Valves,Statement of Work,150000,2025-07-01,2026-07-01,Expiring
CTR-0022,Cardinal Components,NDA,150000,2023-06-01,2025-05-31,Active
CTR-0024,Evergreen Alloys,NDA,4000000,2025-06-01,2026-06-01,Active
CTR-0026,Granite Precision,Master Supply,150000,2023-02-01,2024-02-01,Active
CTR-0028,Ironwood Composites,Master Supply,150000,2025-05-01,2029-04-30,Renewal
CTR-0030,Keystone Bearings,Services,50000,2023-09-01,2027-08-31,Renewal
CTR-0032,Monarch Machining,Master Supply,50000,2025-11-01,2029-10-31,Expiring
CTR-0034,Orchard Plastics,Statement of Work,4000000,2023-02-01,2025-01-31,Active
CTR-0036,Quartz Sensors,Services,500000,2025-10-01,2029-09-30,Renewal
CTR-0038,Summit Sheetmetal,NDA,1500000,2023-12-01,2027-11-30,Active
CTR-0040,Vertex Valves,Master Supply,500000,2025-12-01,2029-11-30,Active
CTR-0042,Cardinal Components,Master Supply,50000,2023-02-01,2024-02-01,Expiring
CTR-0044,Evergreen Alloys,Services,500000,2025-09-01,2026-09-01,Expiring
CTR-0046,Granite Precision,Statement of Work,50000,2023-05-01,2025-04-30,Active
CTR-0048,Ironwood Composites,Statement of Work,50000,2025-09-01,2028-08-31,Renewal
CTR-0050,Keystone Bearings,Statement of Work,50000,2023-11-01,2025-10-31,Active
CTR-0052,Monarch Machining,NDA,4000000,2025-03-01,2029-02-28,Active
CTR-0054,Orchard Plastics,License,500000,2023-07-01,2025-06-30,Active
CTR-0056,Quartz Sensors,NDA,4000000,2025-03-01,2026-03-01,Active
CTR-0058,Summit Sheetmetal,License,500000,2023-08-01,2025-07-31,Renewal
CTR-0060,Vertex Valves,Services,1500000,2025-11-01,2028-10-31,Active
CTR-0062,Cardinal Components,Statement of Work,150000,2023-04-01,2025-03-31,Active
CTR-0064,Evergreen Alloys,License,150000,2025-12-01,2027-12-01,Expiring
